Uploaded data
|    1-512   |        dato|  513-1024  |        dato| 1025-1536  |        dato| 1537-2048  |        dato| 2049-2560  |        dato| 2561-3072  |        dato|
|-------------------------|-------------------------|-------------------------|-------------------------|-------------------------|-------------------------|
|           0|         180|         512|          70|        1024|         233|        1536|         155|        2048|          94|        2560|          48|
|           1|          63|         513|         175|        1025|         240|        1537|           1|        2049|         226|        2561|         146|
|           2|         172|         514|         226|        1026|         168|        1538|         253|        2050|         227|        2562|          89|
|           3|         171|         515|         114|        1027|         137|        1539|         239|        2051|         166|        2563|         173|
|           4|         135|         516|         251|        1028|         126|        1540|          18|        2052|         181|        2564|         105|
|           5|          90|         517|         168|        1029|         197|        1541|         179|        2053|         112|        2565|         253|
|           6|         218|         518|         250|        1030|         170|        1542|         234|        2054|         186|        2566|          26|
|           7|         220|         519|         100|        1031|          61|        1543|         101|        2055|         222|        2567|         166|
|           8|           2|         520|         177|        1032|         111|        1544|          62|        2056|          29|        2568|          11|
|           9|         255|         521|          27|        1033|           7|        1545|         195|        2057|          79|        2569|         171|
|          10|         234|         522|          30|        1034|         226|        1546|          54|        2058|          26|        2570|         142|
|          11|         242|         523|         190|        1035|         218|        1547|          70|        2059|           2|        2571|          15|
|          12|          51|         524|         150|        1036|          10|        1548|         142|        2060|          34|        2572|         198|
|          13|          84|         525|         209|        1037|          29|        1549|          58|        2061|          39|        2573|         227|
|          14|         119|         526|           9|        1038|          43|        1550|         221|        2062|          31|        2574|         241|
|          15|         232|         527|          26|        1039|         155|        1551|         109|        2063|         143|        2575|           1|
|          16|         185|         528|         108|        1040|          47|        1552|           2|        2064|         229|        2576|         216|
|          17|         201|         529|         216|        1041|         183|        1553|         102|        2065|         230|        2577|          53|
|          18|          67|         530|         157|        1042|         135|        1554|           1|        2066|          11|        2578|         166|
|          19|          76|         531|         165|        1043|          78|        1555|          71|        2067|         145|        2579|          42|
|          20|         124|         532|          56|        1044|           4|        1556|         224|        2068|         204|        2580|         200|
|          21|         249|         533|         109|        1045|         177|        1557|         197|        2069|         169|        2581|          93|
|          22|         134|         534|          50|        1046|         110|        1558|          59|        2070|         151|        2582|         131|
|          23|          66|         535|          37|        1047|          88|        1559|         219|        2071|         174|        2583|         208|
|          24|         155|         536|          58|        1048|         233|        1560|         169|        2072|         120|        2584|          87|
|          25|         213|         537|          32|        1049|          58|        1561|          37|        2073|         223|        2585|         106|
|          26|         133|         538|          46|        1050|         102|        1562|          47|        2074|         135|        2586|         112|
|          27|         203|         539|          58|        1051|         248|        1563|           7|        2075|         101|        2587|          20|
|          28|         166|         540|          34|        1052|         175|        1564|          75|        2076|         247|        2588|         180|
|          29|         255|         541|          50|        1053|          53|        1565|           8|        2077|         171|        2589|          31|
|          30|         103|         542|         213|        1054|         212|        1566|          99|        2078|         129|        2590|          48|
|          31|          71|         543|         227|        1055|         208|        1567|          12|        2079|         152|        2591|         116|
|          32|          14|         544|         129|        1056|           4|        1568|         152|        2080|          59|        2592|         239|
|          33|         116|         545|          66|        1057|         223|        1569|          77|        2081|         139|        2593|         153|
|          34|          68|         546|          99|        1058|          18|        1570|          81|        2082|          31|        2594|         126|
|          35|          57|         547|          69|        1059|         161|        1571|          77|        2083|          72|        2595|         148|
|          36|         217|         548|         126|        1060|          50|        1572|         247|        2084|         203|        2596|         176|
|          37|         110|         549|          40|        1061|         179|        1573|          13|        2085|          56|        2597|          50|
|          38|         128|         550|          88|        1062|         193|        1574|         186|        2086|          67|        2598|          92|
|          39|          75|         551|         168|        1063|          86|        1575|          83|        2087|         161|        2599|          62|
|          40|         154|         552|         202|        1064|          10|        1576|          89|        2088|         185|        2600|          41|
|          41|         137|         553|          34|        1065|         139|        1577|         196|        2089|         205|        2601|         166|
|          42|          87|         554|          20|        1066|          97|        1578|          62|        2090|         171|        2602|         168|
|          43|         146|         555|         195|        1067|          68|        1579|          21|        2091|          54|        2603|         167|
|          44|         161|         556|         214|        1068|          26|        1580|         111|        2092|         212|        2604|          73|
|          45|          36|         557|          46|        1069|           7|        1581|         177|        2093|          42|        2605|         116|
|          46|         184|         558|         163|        1070|          31|        1582|          42|        2094|         197|        2606|         240|
|          47|          18|         559|          57|        1071|         176|        1583|         118|        2095|         141|        2607|         244|
|          48|         111|         560|          67|        1072|          39|        1584|          27|        2096|          30|        2608|          50|
|          49|          10|         561|         182|        1073|          50|        1585|         127|        2097|         155|        2609|         135|
|          50|          87|         562|         218|        1074|         237|        1586|         145|        2098|         196|        2610|         135|
|          51|         133|         563|          99|        1075|         145|        1587|          16|        2099|         222|        2611|         252|
|          52|         109|         564|         154|        1076|         215|        1588|          36|        2100|         129|        2612|         238|
|          53|          82|         565|         114|        1077|          99|        1589|          36|        2101|         181|        2613|          22|
|          54|         254|         566|         163|        1078|         216|        1590|         158|        2102|         243|        2614|         216|
|          55|          88|         567|          80|        1079|         152|        1591|          48|        2103|          24|        2615|          80|
